caseId,caseNo,editorialType,figureId,tableId,assetType,proposedCaption,sourceType,sourceMaster,sourceTrace,evidenceClass,anonymizationRequired,unitCheck,permissionStatus,assetStatus,finalAssetPath,sha,pixelDimensions,maxPrintWidth300dpiMm,finalPage,notes
"CASE68","68","DEEP_DIVE_CANDIDATE","CASE68-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE68_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE68","68","DEEP_DIVE_CANDIDATE","","CASE68-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE68_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE69","69","APPLICATION_CASE","CASE69-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE69_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE69","69","APPLICATION_CASE","","CASE69-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE69_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE70","70","APPLICATION_CASE","CASE70-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE70_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE38; do not create decorative/placeholder chart."
"CASE70","70","APPLICATION_CASE","","CASE70-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE70_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE38; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE71","71","APPLICATION_CASE","CASE71-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE71_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE38; do not create decorative/placeholder chart."
"CASE71","71","APPLICATION_CASE","","CASE71-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE71_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE38; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE72","72","APPLICATION_CASE","CASE72-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE72_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE38; do not create decorative/placeholder chart."
"CASE72","72","APPLICATION_CASE","","CASE72-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE72_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE38; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE73","73","APPLICATION_CASE","CASE73-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE73_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE38; do not create decorative/placeholder chart."
"CASE73","73","APPLICATION_CASE","","CASE73-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE73_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE38; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE74","74","DEEP_DIVE_CANDIDATE","CASE74-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE74_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE39; do not create decorative/placeholder chart."
"CASE74","74","DEEP_DIVE_CANDIDATE","","CASE74-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE74_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE39; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE75","75","APPLICATION_CASE","CASE75-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE75_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE28; do not create decorative/placeholder chart."
"CASE75","75","APPLICATION_CASE","","CASE75-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE75_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE28; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE76","76","APPLICATION_CASE","CASE76-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE76_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE28; do not create decorative/placeholder chart."
"CASE76","76","APPLICATION_CASE","","CASE76-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE76_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE28; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE77","77","APPLICATION_CASE","CASE77-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE / CASE77 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE77","77","APPLICATION_CASE","","CASE77-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE / CASE77 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE78","78","APPLICATION_CASE","CASE78-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE / CASE78 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE10; do not create decorative/placeholder chart."
"CASE78","78","APPLICATION_CASE","","CASE78-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE / CASE78 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE79","79","APPLICATION_CASE","CASE79-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE / CASE79 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE79","79","APPLICATION_CASE","","CASE79-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE / CASE79 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE80","80","APPLICATION_CASE","CASE80-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE / CASE80 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE80","80","APPLICATION_CASE","","CASE80-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE / CASE80 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE81","81","APPLICATION_CASE","CASE81-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE / CASE81 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE38; do not create decorative/placeholder chart."
"CASE81","81","APPLICATION_CASE","","CASE81-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE / CASE81 approved source (BOOK SOURCE GATE PASS; exact filename not exposed in recovery snippet)","기존 LOCK Boundary 유지","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE38; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE82","82","DEEP_DIVE_CANDIDATE","CASE82-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","Production data/cases-data.js CASE82 + restored public CASE82 QA","분석범위는 데이터센터의 전력사용량과 전기요금, 계약전력·요금적용전력·Peak 및 Load Factor의 비교입니다. Energy KPI(kWh)와 Cost KPI(원/년)를 구분하며, 계약전력 변경 시나리오는 설비의 kWh 절감성과가 아니라 계약조건 조정에 따른 비용효과 검토 범위로 평가합니다.","C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE82","82","DEEP_DIVE_CANDIDATE","","CASE82-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","Production data/cases-data.js CASE82 + restored public CASE82 QA","분석범위는 데이터센터의 전력사용량과 전기요금, 계약전력·요금적용전력·Peak 및 Load Factor의 비교입니다. Energy KPI(kWh)와 Cost KPI(원/년)를 구분하며, 계약전력 변경 시나리오는 설비의 kWh 절감성과가 아니라 계약조건 조정에 따른 비용효과 검토 범위로 평가합니다.","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
